name,email,phone,gpa,grade_class,ielts,toefl,pte,duolingo,funding_type,budget,intake_year,target_country,target_course,stage,source
Obinna Obi,obinna.obi47@example.com,+2348095613415,2.5,Third,,,,96,Self-funded,18000,2029/2030,Australia,MSc Engineering,Application,Referral
Esther Adeyemi,esther.adeyemi48@example.com,+2348087446468,3.7,First,,72,,,None,26000,2027/2028,Ireland,MS Data Analytics,Evaluating,Organic
Yakubu Adebayo,yakubu.adebayo49@example.com,+2348069421007,3.0,2:2,,,,,Scholarship,15000,2028/2029,Canada,MSc Pharmacy,Cold,Meta Campaign
Mary Okeke,mary.okeke50@example.com,+2348033328859,3.7,First,6.0,,,,Bank loan,30000,2026/2027,Germany,Foundation Business,Comparing,TikTok Ads
Maryam Musa,maryam.musa51@example.com,+2348067061186,3.9,First,5.5,,,,Bank loan,42000,2028/2029,Ireland,MSc IT,New enquiry,Meta Campaign
Aminat Idris,aminat.idris52@example.com,+2348064023778,2.8,2:2,,,70,,Bank loan,4000,2026/2027,Canada,MSc HR,Not sure,Meta Campaign
Bisi Effiong,bisi.effiong53@example.com,+2348087342561,3.9,First,,,,96,Partial,48000,2029/2030,Australia,MBA,New enquiry,Webinar
Musa Anyanwu,musa.anyanwu54@example.com,+2348053091709,4.0,First,,,85,,Self-funded,30000,2026/2027,USA,MSc Pharmacy,Researching,Meta Campaign
Abdul Nwachukwu,abdul.nwachukwu55@example.com,+2348079067939,3.9,First,,,,124,Undecided,48000,2027/2028,UK,MSc Public Health,Comparing,Organic
Ngozi Adamu,ngozi.adamu56@example.com,+2348068802946,2.3,Third,,84,,,None,4000,2027/2028,Australia,MBA,Evaluating,Meta Campaign
Aminat Sani,aminat.sani57@example.com,+2348096934122,3.6,2:1,,,80,,Family,30000,2027/2028,Canada,Diploma,Evaluating,Organic
Nnamdi Obi,nnamdi.obi58@example.com,+2348019369750,3.0,2:2,,,,137,Self-funded,18000,2028/2029,USA,MSc HR,Not sure,TikTok Ads
Esther Bakare,esther.bakare59@example.com,+2348069934576,2.5,Third,,,,140,Family,15000,2027/2028,Australia,Foundation Business,Considering,Meta Campaign
Peter Ekwueme,peter.ekwueme60@example.com,+2348061167978,2.3,Third,6.0,,,,Education loan,8000,2029/2030,Australia,MSc Engineering,Just enquired,Referral
Aisha Bakare,aisha.bakare61@example.com,+2348065026398,3.6,2:1,,,55,,Education loan,48000,2029/2030,Ireland,Diploma,Researching,TikTok Ads
Comfort Olawale,comfort.olawale62@example.com,+2348082613940,3.9,First,,112,,,Scholarship,26000,2026/2027,Germany,MSc Engineering,New enquiry,Google Ads
Obinna Idris,obinna.idris63@example.com,+2348013885234,3.8,First,,98,,,Partial,42000,2028/2029,Canada,MSc Marketing,Shortlisting,Meta Campaign
Funke Balogun,funke.balogun64@example.com,+2348093176117,3.5,2:1,,,66,,Self-funded,30000,2026/2027,Germany,MSc Economics,Shortlisting,Meta Campaign
Femi Garba,femi.garba65@example.com,+2348088862539,2.9,2:2,,89,,,Undecided,8000,2026/2027,Australia,MSc HR,Researching,Organic
Sadiq Adamu,sadiq.adamu66@example.com,+2348012944682,2.6,Third,8.0,,,,Undecided,18000,2029/2030,Canada,MS Data Analytics,Researching,Google Ads
Idris Musa,idris.musa67@example.com,+2348093334601,3.1,2:2,8.0,,,,Self-funded,18000,2029/2030,Australia,MSc Computer Science,Not sure,Webinar
Yusuf Obi,yusuf.obi68@example.com,+2348022097496,2.9,2:2,,,,118,None,18000,2029/2030,Canada,MSc Pharmacy,New enquiry,Webinar
Ekene Anyanwu,ekene.anyanwu69@example.com,+2348025457816,2.7,Third,,,85,,Education loan,8000,2029/2030,Australia,MSc Data Science,Comparing,Organic
Ibrahim Mohammed,ibrahim.mohammed70@example.com,+2348059470729,3.3,2:2,,95,,,Self-funded,42000,2027/2028,USA,MS Data Analytics,Evaluating,TikTok Ads
Grace Mohammed,grace.mohammed71@example.com,+2348050559278,2.8,Third,6.0,,,,None,11000,2027/2028,Australia,MSc AI,Cold,TikTok Ads
Obinna Aliyu,obinna.aliyu72@example.com,+2348088831486,3.6,2:1,,,,87,Education loan,15000,2027/2028,Australia,Foundation Business,Researching,Meta Campaign
Hadiza Ogundipe,hadiza.ogundipe73@example.com,+2348083076970,3.3,2:2,,,55,,Family,48000,2028/2029,Ireland,MSc Data Science,Ready to apply,Webinar
Victor Obi,victor.obi74@example.com,+2348085776373,3.6,2:1,,86,,,Sponsor,42000,2026/2027,USA,MS Finance,Shortlisting,Organic
Amara Amadi,amara.amadi75@example.com,+2348024754064,3.7,First,6.0,,,,Self-funded,11000,2028/2029,Australia,MSc Management,Application,TikTok Ads
Grace Ekwueme,grace.ekwueme76@example.com,+2348070166480,3.1,2:2,7.5,,,,None,18000,2027/2028,Germany,MSc Data Science,Ready to apply,Referral
Bukola Okonkwo,bukola.okonkwo77@example.com,+2348024490391,2.4,Third,,69,,,Sponsor,18000,2027/2028,Germany,MSc HR,Just enquired,TikTok Ads
Peter Balogun,peter.balogun78@example.com,+2348090180577,2.8,2:2,,,,,Family,26000,2027/2028,Canada,MSc Mechanical Eng,Researching,Referral
Bukola Aliyu,bukola.aliyu79@example.com,+2348022762205,3.0,2:2,,,54,,Scholarship,8000,2026/2027,Australia,MSc Engineering,Unresponsive,TikTok Ads
Rita Obi,rita.obi80@example.com,+2348084674816,3.9,First,,,,140,Partial,4000,2026/2027,Ireland,MSc IT,Researching,Meta Campaign
Uche Obiora,uche.obiora81@example.com,+2348030767532,2.4,Third,,,,121,Family,26000,2029/2030,Ireland,MS Data Analytics,Not sure,TikTok Ads
Ada Okafor,ada.okafor82@example.com,+2348091737913,3.2,2:2,,,,85,Sponsor,11000,2027/2028,Germany,Diploma,Application,Google Ads
Ekene Okafor,ekene.okafor83@example.com,+2348022315507,3.5,2:1,,,,134,Scholarship,4000,2026/2027,Canada,MS Data Analytics,Ready to apply,TikTok Ads
Samuel Effiong,samuel.effiong84@example.com,+2348069473616,2.7,Third,6.5,,,,Scholarship,18000,2028/2029,Germany,MSc HR,New enquiry,Organic
Segun Idris,segun.idris85@example.com,+2348016095815,3.5,2:1,,114,,,Sponsor,18000,2026/2027,USA,MSc Engineering,Ready to apply,Referral
Ekene Okonkwo,ekene.okonkwo86@example.com,+2348033581357,3.6,2:1,,,,89,Partial,4000,2027/2028,UK,MSc Biotech,Application,Webinar
Uche Okonkwo,uche.okonkwo87@example.com,+2348086960402,2.2,Third,,,,95,Undecided,22000,2026/2027,Australia,MSc Engineering,Evaluating,Referral
Maryam Nwachukwu,maryam.nwachukwu88@example.com,+2348080325062,3.8,First,,69,,,None,48000,2026/2027,Ireland,MSc Management,Evaluating,Webinar
Stephen Bakare,stephen.bakare89@example.com,+2348041711468,3.7,First,6.0,,,,Undecided,30000,2029/2030,Ireland,MSc HR,New enquiry,TikTok Ads
Uche Udo,uche.udo90@example.com,+2348094183695,3.0,2:2,,,,122,Self-funded,22000,2027/2028,UK,MSc IT,New enquiry,Referral
Fatima Eze,fatima.eze91@example.com,+2348059491122,3.2,2:2,,,,,Partial,30000,2027/2028,Ireland,MSc Computer Science,New enquiry,Organic
Ada Musa,ada.musa92@example.com,+2348053154591,2.7,Third,,,,130,Scholarship,35000,2028/2029,Canada,MSc Computer Science,Evaluating,TikTok Ads
Femi Adebayo,femi.adebayo93@example.com,+2348080339290,3.7,2:1,,,,,Self-funded,48000,2028/2029,USA,MBA,Researching,Meta Campaign
Patience Balogun,patience.balogun94@example.com,+2348048137561,3.3,2:2,,,,90,Sponsor,22000,2026/2027,Germany,Diploma,Shortlisting,Organic
Comfort Johnson,comfort.johnson95@example.com,+2348051551377,2.6,Third,,,,,Scholarship,48000,2028/2029,Australia,MSc Management,Researching,Meta Campaign
Rita Idris,rita.idris96@example.com,+2348034194479,3.6,2:1,,69,,,Bank loan,8000,2027/2028,Ireland,MSc Management,Ready to apply,TikTok Ads
Halima Obi,halima.obi97@example.com,+2348090161060,2.6,Third,,111,,,Undecided,4000,2027/2028,USA,Foundation Business,New enquiry,Organic
Sadiq Adebayo,sadiq.adebayo98@example.com,+2348041407343,3.6,2:1,,,,128,Undecided,30000,2029/2030,USA,Diploma,Just enquired,Organic
Musa Eteng,musa.eteng99@example.com,+2348036802975,3.3,2:1,7.5,,,,None,8000,2026/2027,UK,MSc Marketing,Comparing,Referral
